Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FJAN,5037,0,0.00,0,0.00,30.86,5037,0
DDLS,5036,0,0.00,0,0.00,32.56,5036,0
BJUN,5000,0,0.00,0,0.00,31.50,5000,0
SMB,4950,0,0.00,0,0.00,18.16,4950,0
VCEB,4702,0,0.00,0,0.00,74.67,4701,1
SVAL,4624,0,0.00,0,0.00,28.16,4624,0
SHYD,4546,0,0.00,0,0.00,25.33,4446,100
DUDE,4346,0,0.00,0,0.00,30.26,4346,0
BMAR,4300,0,0.00,0,0.00,29.91,4300,0
ESML,4233,0,0.00,0,0.00,38.84,4233,0
OILK,4224,0,0.00,0,0.00,52.71,4224,0
FSMO,4082,0,0.00,0,0.00,21.33,4082,0
PBND,4022,0,0.00,0,0.00,26.30,4022,0
FLQL,4013,0,0.00,0,0.00,39.07,4013,0
KNG,3891,0,0.00,0,0.00,48.71,2541,1350
GVI,3861,0,0.00,0,0.00,116.98,3581,280
GHYG,3819,0,0.00,0,0.00,50.92,3819,0
REGL,3807,0,0.00,0,0.00,65.90,3807,0
USMF,3766,0,0.00,0,0.00,37.72,3766,0
ESGG,3737,0,0.00,0,0.00,129.35,3737,0
OUSM,3693,0,0.00,0,0.00,33.00,3693,0
CEFS,3499,0,0.00,0,0.00,20.51,3499,0
BAPR,3327,0,0.00,0,0.00,29.88,3327,0
SECT,3270,0,0.00,0,0.00,38.34,3170,100
VXZ,3153,0,0.00,0,0.00,34.56,3153,0
FMAG,3064,0,0.00,0,0.00,20.55,3064,0
SULR,3005,0,0.00,0,0.00,35.20,3005,0
SMMD,2996,0,0.00,0,0.00,64.07,2996,0
FRDM,2988,0,0.00,0,0.00,34.49,2988,0
BJUL,2987,0,0.00,0,0.00,30.50,2987,0
BBSA,2873,0,0.00,0,0.00,26.07,2873,0
VFVA,2869,0,0.00,0,0.00,87.02,2869,0
FMIL,2769,0,0.00,0,0.00,26.09,2769,0
CALF,2741,0,0.00,0,0.00,37.95,2741,0
FLV,2635,0,0.00,0,0.00,55.25,2635,0
PJUL,2572,0,0.00,0,0.00,29.02,2572,0
ITM,2471,0,0.00,0,0.00,52.34,2461,10
COWZ,2449,0,0.00,0,0.00,36.76,2449,0
DJAN,2400,0,0.00,0,0.00,30.42,2400,0
XSHD,2388,0,0.00,0,0.00,21.94,2388,0
OMFS,2380,0,0.00,0,0.00,39.96,514,1866
ENOR,2353,0,0.00,0,0.00,26.22,2353,0
FPRO,2301,0,0.00,0,0.00,20.32,2301,0
USEP,2257,0,0.00,0,0.00,27.32,1957,300
FNOV,2234,0,0.00,0,0.00,35.76,2234,0
PFEB,2219,0,0.00,0,0.00,27.11,2219,0
RYLD,2218,0,0.00,0,0.00,23.74,2217,1
IBML,2208,0,0.00,0,0.00,26.21,2208,0
SMIN,2102,0,0.00,0,0.00,47.13,2101,1
XDAT,2045,0,0.00,0,0.00,27.39,2045,0
ROMO,2027,0,0.00,0,0.00,26.63,2027,0
NUMG,1977,0,0.00,0,0.00,53.08,1977,0
FDG,1942,0,0.00,0,0.00,81.91,1942,0
MFMS,1924,0,0.00,0,0.00,44.20,1624,300
GVAL,1889,0,0.00,0,0.00,21.92,1889,0
QMOM,1823,0,0.00,0,0.00,66.95,1823,0
LKOR,1809,0,0.00,0,0.00,60.28,1809,0
IGHG,1790,0,0.00,0,0.00,75.87,1790,0
BBRE,1777,0,0.00,0,0.00,83.69,1777,0
EMTL,1712,0,0.00,0,0.00,51.09,1712,0
QDEC,1698,0,0.00,0,0.00,20.70,1698,0
IGEB,1663,0,0.00,0,0.00,54.40,1663,0
ADME,1636,0,0.00,0,0.00,37.02,1636,0
MSTB,1615,0,0.00,0,0.00,28.85,1615,0
OSCV,1608,0,0.00,0,0.00,30.76,1608,0
DFEB,1557,0,0.00,0,0.00,32.73,1457,100
DDWM,1531,0,0.00,0,0.00,29.18,1531,0
FDEM,1531,0,0.00,0,0.00,29.28,1531,0
IGRO,1512,0,0.00,0,0.00,64.84,1512,0
VFMO,1510,0,0.00,0,0.00,132.89,1510,0
FLDR,1498,0,0.00,0,0.00,50.95,1498,0
EFNL,1470,0,0.00,0,0.00,46.60,1470,0
QVAL,1394,0,0.00,0,0.00,31.19,1394,0
BUYZ,1390,0,0.00,0,0.00,62.67,1380,10
XVZ,1375,0,0.00,0,0.00,40.52,1375,0
IEME,1348,0,0.00,0,0.00,38.33,1248,100
SLT,1346,0,0.00,0,0.00,40.18,1346,0
JCPB,1345,0,0.00,0,0.00,55.20,1345,0
IBHB,1342,0,0.00,0,0.00,24.28,1342,0
RVRS,1300,0,0.00,0,0.00,20.20,1300,0
DFNV,1298,0,0.00,0,0.00,28.37,1243,55
SFIG,1292,0,0.00,0,0.00,51.76,1292,0
IVLC,1283,0,0.00,0,0.00,12.43,1283,0
HSRT,1225,0,0.00,0,0.00,41.33,1225,0
NJAN,1212,0,0.00,0,0.00,39.04,1212,0
IEHS,1202,0,0.00,0,0.00,39.26,1202,0
IBMP,1201,0,0.00,0,0.00,27.45,1201,0
NUDM,1201,0,0.00,0,0.00,30.65,1201,0
FFTI,1198,0,0.00,0,0.00,24.27,1198,0
FFHG,1180,0,0.00,0,0.00,32.85,1180,0
PSMM,1162,0,0.00,0,0.00,14.93,1162,0
MEAR,1122,0,0.00,0,0.00,50.23,827,295
EWGS,1093,0,0.00,0,0.00,81.99,1093,0
KJAN,1061,0,0.00,0,0.00,30.14,1061,0
SFHY,1059,0,0.00,0,0.00,49.70,1059,0
TSOC,1040,0,0.00,0,0.00,28.69,1040,0
CSM,1032,0,0.00,0,0.00,89.56,1032,0
IBHC,1032,0,0.00,0,0.00,24.56,375,657
PSEP,1017,0,0.00,0,0.00,28.33,1017,0
FDEC,1014,0,0.00,0,0.00,31.28,1014,0
GCOW,1012,0,0.00,0,0.00,29.66,1012,0
IVDG,1006,0,0.00,0,0.00,13.26,1006,0
IETC,998,0,0.00,0,0.00,51.17,998,0
PMAY,992,0,0.00,0,0.00,28.61,992,0
FBCV,978,0,0.00,0,0.00,25.14,978,0
BDEC,958,0,0.00,0,0.00,31.14,958,0
DEFA,936,0,0.00,0,0.00,31.51,936,0
KJUL,936,0,0.00,0,0.00,26.21,936,0
BOB,930,0,0.00,0,0.00,25.51,930,0
BUFF,923,0,0.00,0,0.00,33.60,923,0
IVRA,908,0,0.00,0,0.00,12.50,908,0
PWS,906,0,0.00,0,0.00,31.10,906,0
IBMM,902,0,0.00,0,0.00,27.12,902,0
IVSG,871,0,0.00,0,0.00,13.20,871,0
IVAL,837,0,0.00,0,0.00,28.35,837,0
IECS,825,0,0.00,0,0.00,30.48,825,0
DALT,822,0,0.00,0,0.00,10.40,822,0
PBSM,812,0,0.00,0,0.00,38.16,812,0
DDEC,800,0,0.00,0,0.00,30.81,800,0
NURE,797,0,0.00,0,0.00,28.66,797,0
MOTI,775,0,0.00,0,0.00,35.40,775,0
FUNL,771,0,0.00,0,0.00,29.92,771,0
TMAT,767,0,0.00,0,0.00,28.03,767,0
SYLD,766,0,0.00,0,0.00,54.76,766,0
IAUF,765,0,0.00,0,0.00,56.02,765,0
PDEC,742,0,0.00,0,0.00,29.31,742,0
LEAD,726,0,0.00,0,0.00,49.20,726,0
JPHY,717,0,0.00,0,0.00,52.40,717,0
FLQM,705,0,0.00,0,0.00,40.05,705,0
HEEM,700,0,0.00,0,0.00,34.44,700,0
PJUN,700,0,0.00,0,0.00,30.36,700,0
VAMO,666,0,0.00,0,0.00,23.15,666,0
STOT,657,0,0.00,0,0.00,50.04,657,0
IMOM,648,0,0.00,0,0.00,37.45,648,0
NUMV,629,0,0.00,0,0.00,32.67,629,0
IBHD,624,0,0.00,0,0.00,24.55,624,0
ACIO,602,0,0.00,0,0.00,28.04,602,0
UOCT,600,0,0.00,0,0.00,26.96,600,0
HELX,599,0,0.00,0,0.00,52.72,599,0
NUEM,570,0,0.00,0,0.00,38.00,570,0
DBJA,543,0,0.00,0,0.00,25.88,543,0
FCPI,542,0,0.00,0,0.00,27.34,542,0
ATMP,540,0,0.00,0,0.00,13.06,540,0
WFHY,538,0,0.00,0,0.00,52.66,538,0
HYHG,532,0,0.00,0,0.00,62.84,532,0
NOCT,530,0,0.00,0,0.00,36.85,530,0
VFMF,504,0,0.00,0,0.00,92.80,504,0
WLDR,499,0,0.00,0,0.00,24.89,499,0
EYLD,477,0,0.00,0,0.00,36.86,477,0
UMAR,477,0,0.00,0,0.00,27.85,477,0
GOVZ,467,0,0.00,0,0.00,21.31,467,0
IBHF,455,0,0.00,0,0.00,25.56,455,0
DFHY,450,0,0.00,0,0.00,25.36,450,0
FLQS,437,0,0.00,0,0.00,36.24,437,0
FCTR,433,0,0.00,0,0.00,32.71,433,0
ESG,429,0,0.00,0,0.00,95.88,429,0
KNGS,423,0,0.00,0,0.00,28.90,423,0
DSOC,399,0,0.00,0,0.00,28.81,399,0
NJUL,388,0,0.00,0,0.00,45.10,388,0
XSHQ,388,0,0.00,0,0.00,37.09,388,0
UJUL,381,0,0.00,0,0.00,26.53,381,0
PSMC,378,0,0.00,0,0.00,13.62,378,0
TBJL,368,0,0.00,0,0.00,23.84,368,0
PNOV,360,0,0.00,0,0.00,29.30,360,0
DURA,355,0,0.00,0,0.00,28.48,355,0
BJAN,345,0,0.00,0,0.00,33.66,345,0
TILT,335,0,0.00,0,0.00,156.27,260,75
UDEC,333,0,0.00,0,0.00,28.71,333,0
IEDI,328,0,0.00,0,0.00,41.40,328,0
FIBR,314,0,0.00,0,0.00,101.91,314,0
DIVB,313,0,0.00,0,0.00,35.03,313,0
LIV,312,0,0.00,0,0.00,28.84,312,0
GTIP,311,0,0.00,0,0.00,57.43,311,0
YDEC,300,0,0.00,0,0.00,20.69,300,0
AESR,299,0,0.00,0,0.00,12.40,299,0
UFEB,295,0,0.00,0,0.00,26.68,295,0
MAAX,294,0,0.00,0,0.00,25.33,294,0
RTAI,291,0,0.00,0,0.00,26.68,291,0
EAOR,286,0,0.00,0,0.00,30.10,286,0
IQM,280,0,0.00,0,0.00,49.20,280,0
PSCX,272,0,0.00,0,0.00,21.09,272,0
GAA,270,0,0.00,0,0.00,31.13,270,0
BNOV,266,0,0.00,0,0.00,30.22,266,0
TCTL,263,0,0.00,0,0.00,31.16,263,0
GOAT,261,0,0.00,0,0.00,37.17,261,0
LSLT,257,0,0.00,0,0.00,28.55,257,0
RDFI,257,0,0.00,0,0.00,27.74,257,0
TTAC,229,0,0.00,0,0.00,49.18,229,0
FDEV,221,0,0.00,0,0.00,28.23,221,0
MSVX,219,0,0.00,0,0.00,25.58,219,0
VFQY,215,0,0.00,0,0.00,109.93,215,0
GSST,204,0,0.00,0,0.00,50.76,204,0
PSMG,203,0,0.00,0,0.00,17.17,203,0
VIRS,203,0,0.00,0,0.00,30.27,203,0
LQDI,201,0,0.00,0,0.00,29.05,201,0
FFSG,200,0,0.00,0,0.00,33.61,200,0
TRTY,200,0,0.00,0,0.00,26.30,200,0
MAGA,191,0,0.00,0,0.00,31.33,191,0
FLIA,175,0,0.00,0,0.00,25.32,175,0
TFIV,175,0,0.00,0,0.00,24.02,175,0
FLHY,174,0,0.00,0,0.00,26.72,174,0
PMAR,173,0,0.00,0,0.00,28.67,173,0
TAEQ,173,0,0.00,0,0.00,27.19,173,0
FAUG,151,0,0.00,0,0.00,35.30,151,0
XJR,139,0,0.00,0,0.00,38.13,139,0
EUCG,138,0,0.00,0,0.00,27.70,138,0
UMAY,138,0,0.00,0,0.00,27.56,138,0
IEIH,131,0,0.00,0,0.00,34.54,131,0
BSEP,126,0,0.00,0,0.00,29.89,126,0
MRSK,121,0,0.00,0,0.00,28.74,121,0
EAOA,116,0,0.00,0,0.00,31.99,116,0
RSXJ,116,0,0.00,0,0.00,37.59,116,0
IBMQ,101,0,0.00,0,0.00,27.77,101,0
BGLD,100,0,0.00,0,0.00,19.57,100,0
FFTG,100,0,0.00,0,0.00,29.39,100,0
KOCT,100,0,0.00,0,0.00,26.36,100,0
PAUG,100,0,0.00,0,0.00,28.56,100,0
THY,100,0,0.00,0,0.00,25.61,100,0
EMDV,95,0,0.00,0,0.00,61.74,95,0
ALFA,87,0,0.00,0,0.00,87.10,87,0
GMOM,85,0,0.00,0,0.00,27.77,85,0
STSB,84,0,0.00,0,0.00,47.57,84,0
PBTP,82,0,0.00,0,0.00,26.12,82,0
AVDR,81,0,0.00,0,0.00,27.10,81,0
FMAY,77,0,0.00,0,0.00,34.94,77,0
QLC,75,0,0.00,0,0.00,42.92,75,0
PBUS,74,0,0.00,0,0.00,40.19,74,0
LYFE,73,0,0.00,0,0.00,27.47,73,0
BFEB,57,0,0.00,0,0.00,28.45,57,0
XJH,55,0,0.00,0,0.00,34.59,55,0
FLBL,53,0,0.00,0,0.00,25.06,53,0
AFIF,48,0,0.00,0,0.00,9.77,48,0
ACSI,46,0,0.00,0,0.00,45.25,46,0
JMUB,45,0,0.00,0,0.00,55.57,45,0
EUDV,44,0,0.00,0,0.00,48.18,44,0
DBOC,35,0,0.00,0,0.00,27.55,35,0
IBMN,35,0,0.00,0,0.00,28.23,35,0
OEUR,34,0,0.00,0,0.00,25.39,34,0
IDHD,31,0,0.00,0,0.00,26.30,31,0
LUXE,31,0,0.00,0,0.00,28.29,31,0
ARCM,30,0,0.00,0,0.00,100.02,30,0
RESE,30,0,0.00,0,0.00,39.74,30,0
ADFI,26,0,0.00,0,0.00,9.85,26,0
XVV,26,0,0.00,0,0.00,29.92,26,0
PEX,25,0,0.00,0,0.00,33.92,25,0
AGT,22,0,0.00,0,0.00,27.23,22,0
